variable,group,psi
station_active_2017,VALLADOLID,
station_active_2017,ZAMORA,
station_active_2017,ZARAGOZA,
tmax_mean_2017,SEGOVIA,12.442286175772754
tmax_mean_2017,ASTURIAS,12.401628045758653
tmax_mean_2017,GIPUZKOA,12.401628045758045
tmax_mean_2017,BIZKAIA,12.40162804575592
tmax_mean_2017,AVILA,11.513085741712015
tmax_mean_2017,GUADALAJARA,11.513085741712015
tmax_mean_2017,CANTABRIA,11.153444353049323
tmax_mean_2017,ARABA/ALAVA,10.958962374066324
tmax_mean_2017,VALLADOLID,10.807793093318493
tmax_mean_2017,BURGOS,10.723415334082375
tmax_mean_2017,CUENCA,10.708776735125632
tmax_mean_2017,A CORUÑA,10.692851399244818
tmax_mean_2017,PALENCIA,10.672492576825416
tmax_mean_2017,LUGO,10.634053107682778
tmax_mean_2017,ALBACETE,10.591077005776086
tmax_mean_2017,SORIA,10.48809118439671
tmax_mean_2017,LEON,10.483318078994092
tmax_mean_2017,BALEARES,10.410266288333485
tmax_mean_2017,ILLES BALEARS,9.658536816825102
tmax_mean_2017,ZAMORA,9.606898679825978
tmax_mean_2017,ZARAGOZA,9.293300711120496
tmax_mean_2017,LA RIOJA,9.1321076487632
tmax_mean_2017,TERUEL,9.044720762685234
tmax_mean_2017,SEVILLA,8.561641192822192
tmax_mean_2017,MADRID,8.190343852583228
tmax_mean_2017,JAEN,8.145975013055237
tmax_mean_2017,CIUDAD REAL,8.088385485619801
tmax_mean_2017,BARCELONA,7.903992210000033
tmax_mean_2017,TARRAGONA,7.881407132626343
tmax_mean_2017,ALICANTE,7.736960854884282
tmax_mean_2017,CASTELLON,7.7167775294335215
tmax_mean_2017,OURENSE,7.7153233770705425
tmax_mean_2017,SALAMANCA,7.6515691846769815
tmax_mean_2017,PONTEVEDRA,7.582266932664229
tmax_mean_2017,NAVARRA,7.570395280592408
tmax_mean_2017,LLEIDA,7.510328463433143
tmax_mean_2017,GIRONA,6.675286729085301
tmax_mean_2017,HUESCA,6.273472569861226
tmax_mean_2017,HUELVA,5.621706653494308
tmax_mean_2017,VALENCIA,5.585143202802241
tmax_mean_2017,TOLEDO,5.249851649184562
tmax_mean_2017,CORDOBA,5.056832374833936
tmax_mean_2017,GRANADA,4.913635072887187
